task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
48	76/16581e	24101	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP2|qnr)	COMPLETED	0	2025-12-19 12:10:15.789	1.3s	0ms	59.6%	10.7 MB	15.3 MB	13.8 MB	30 MB
46	77/fd88c7	24144	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP2|class_d_1)	COMPLETED	0	2025-12-19 12:10:17.120	972ms	0ms	57.5%	10.6 MB	15.5 MB	13.8 MB	30.2 MB
47	2e/53bfc3	24193	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP2|class_d_2)	COMPLETED	0	2025-12-19 12:10:18.108	1.3s	1s	53.2%	10.2 MB	14.8 MB	13.8 MB	30.3 MB
49	a1/470476	24275	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP2|tet_efflux)	COMPLETED	0	2025-12-19 12:10:19.405	1s	1s	56.0%	10.3 MB	15.1 MB	13.8 MB	30.9 MB
50	b5/92940e	24318	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP2|tet_rpg)	COMPLETED	0	2025-12-19 12:10:20.420	996ms	1s	53.5%	10.4 MB	15.1 MB	13.9 MB	32.2 MB
51	ac/9be160	24366	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP2|tet_enzyme)	COMPLETED	0	2025-12-19 12:10:21.437	1.2s	1s	60.5%	10.4 MB	15.1 MB	13.8 MB	30.9 MB
59	0a/2e69f4	24410	NFCORE_FUNCSCAN:FUNCSCAN:ARG:RGI_MAIN (CONTROL_REP1)	COMPLETED	0	2025-12-19 12:10:22.686	1m 14s	1m 13s	257.1%	1.3 GB	10.7 GB	704 MB	162.4 MB
54	24/9dc304	24767	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP1|class_a)	COMPLETED	0	2025-12-19 12:11:36.899	1.3s	0ms	45.2%	10.2 MB	14.8 MB	11.7 MB	28.9 MB
62	4d/b66c18	24839	NFCORE_FUNCSCAN:FUNCSCAN:ARG:ABRICATE_RUN (CONTROL_REP1)	COMPLETED	0	2025-12-19 12:11:38.269	5.9s	5s	107.7%	89.4 MB	574.8 MB	10.7 MB	4.5 MB
58	3a/ad37cd	24945	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP1|class_c)	COMPLETED	0	2025-12-19 12:11:44.208	1.1s	1s	33.5%	10.2 MB	15.1 MB	11.7 MB	29.4 MB
53	e3/a74665	24990	NFCORE_FUNCSCAN:FUNCSCAN:AMP:MACREL_CONTIGS (CONTROL_REP1)	COMPLETED	0	2025-12-19 12:11:45.332	8.1s	8s	96.7%	246.3 MB	709.1 MB	51.5 MB	2.7 MB
55	49/5feff5	25096	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP1|class_b_1_2)	COMPLETED	0	2025-12-19 12:11:53.401	1.1s	1s	33.0%	10.6 MB	15.3 MB	11.7 MB	28.6 MB
57	72/cf17d5	25147	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP1|class_b_3)	COMPLETED	0	2025-12-19 12:11:54.539	1.3s	1s	34.3%	10.4 MB	15.1 MB	11.7 MB	28.9 MB
60	40/3488b8	25226	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP1|class_d_1)	COMPLETED	0	2025-12-19 12:11:55.874	1.1s	0ms	33.7%	10.6 MB	15.3 MB	11.6 MB	28.7 MB
65	45/f7413d	25274	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP1|qnr)	COMPLETED	0	2025-12-19 12:11:57.000	1.1s	0ms	33.8%	10.2 MB	14.8 MB	11.6 MB	28.5 MB
64	3a/26cb68	25318	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP1|class_d_2)	COMPLETED	0	2025-12-19 12:11:58.104	1.4s	1s	44.4%	10.1 MB	14.7 MB	11.7 MB	28.8 MB
68	a3/b82ed9	25367	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP1|tet_enzyme)	COMPLETED	0	2025-12-19 12:11:59.477	1.2s	1s	50.3%	10.6 MB	15.1 MB	11.7 MB	29.4 MB
66	1d/a98763	25446	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP1|tet_efflux)	COMPLETED	0	2025-12-19 12:12:00.693	958ms	0ms	66.1%	10.4 MB	15.3 MB	11.7 MB	29.4 MB
67	16/484c8e	25490	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP1|tet_rpg)	COMPLETED	0	2025-12-19 12:12:01.672	1.2s	0ms	52.1%	10.6 MB	15.1 MB	11.8 MB	30.8 MB
74	0e/5cb5d9	25539	NFCORE_FUNCSCAN:FUNCSCAN:ARG:RGI_MAIN (CONTROL_REP3)	COMPLETED	0	2025-12-19 12:12:02.877	1m 16s	1m 15s	253.5%	1.3 GB	10.7 GB	704.1 MB	162.5 MB
70	0f/537456	25884	NFCORE_FUNCSCAN:FUNCSCAN:AMP:MACREL_CONTIGS (CONTROL_REP3)	COMPLETED	0	2025-12-19 12:13:19.322	8.5s	8s	95.5%	246.5 MB	1.5 GB	51.6 MB	2.8 MB
76	0f/8b9bcf	26037	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP3|class_a)	COMPLETED	0	2025-12-19 12:13:27.829	1.3s	0ms	40.6%	10.6 MB	15.3 MB	11.7 MB	28.9 MB
78	d7/8bd46c	26082	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP3|class_b_3)	COMPLETED	0	2025-12-19 12:13:29.172	1.2s	1s	40.2%	10.3 MB	14.8 MB	11.7 MB	28.9 MB
77	16/eb5f98	26131	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP3|class_b_1_2)	COMPLETED	0	2025-12-19 12:13:30.423	1.1s	1s	49.7%	10.4 MB	15.3 MB	11.6 MB	28.6 MB
73	62/596fc8	26197	NFCORE_FUNCSCAN:FUNCSCAN:ARG:ABRICATE_RUN (CONTROL_REP3)	COMPLETED	0	2025-12-19 12:13:31.501	5.8s	6s	109.1%	89.6 MB	574.8 MB	10.7 MB	4.5 MB
80	69/086139	26306	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP3|class_d_1)	COMPLETED	0	2025-12-19 12:13:37.309	1.5s	1s	41.6%	10.6 MB	15.3 MB	11.7 MB	28.7 MB
79	b9/84442d	26357	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP3|class_c)	COMPLETED	0	2025-12-19 12:13:38.822	1.5s	1s	39.9%	10.5 MB	15.3 MB	11.7 MB	29.4 MB
83	a7/809132	26405	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP3|tet_efflux)	COMPLETED	0	2025-12-19 12:13:40.312	1.2s	1s	45.4%	10.3 MB	14.8 MB	11.7 MB	29.4 MB
82	97/68d3b5	26466	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP3|qnr)	COMPLETED	0	2025-12-19 12:13:41.532	1.1s	1s	50.3%	10.7 MB	15.3 MB	11.6 MB	28.5 MB
81	1c/bff930	26527	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP3|class_d_2)	COMPLETED	0	2025-12-19 12:13:42.650	1.2s	0ms	51.4%	10.3 MB	15.1 MB	11.7 MB	28.7 MB
84	74/abe435	26573	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP3|tet_rpg)	COMPLETED	0	2025-12-19 12:13:43.812	1.3s	0ms	44.2%	10.2 MB	14.8 MB	11.8 MB	30.8 MB
85	7b/42f50d	26618	NFCORE_FUNCSCAN:FUNCSCAN:ARG:FARGENE (CONTROL_REP3|tet_enzyme)	COMPLETED	0	2025-12-19 12:13:45.088	1.1s	0ms	45.8%	10.4 MB	15.1 MB	11.7 MB	29.4 MB
87	52/03ea11	26683	NFCORE_FUNCSCAN:FUNCSCAN:BGC:ANTISMASH_ANTISMASH (CONTROL_REP3)	COMPLETED	0	2025-12-19 12:13:46.260	30.9s	30s	112.5%	862.4 MB	4.6 GB	2.4 GB	49.6 MB
88	9b/3d9125	26874	NFCORE_FUNCSCAN:FUNCSCAN:BGC:ANTISMASH_ANTISMASH (CONTROL_REP2)	COMPLETED	0	2025-12-19 12:14:17.169	34.4s	34s	113.9%	1.1 GB	5.2 GB	3.9 GB	82.1 MB
94	7a/2f1d17	27108	NFCORE_FUNCSCAN:FUNCSCAN:BGC:GECCO_RUN (CONTROL_REP1)	COMPLETED	0	2025-12-19 12:14:51.588	1m 38s	43s	185.3%	392.4 MB	1.4 GB	156.5 MB	1.5 MB
92	35/845587	27545	NFCORE_FUNCSCAN:FUNCSCAN:BGC:GECCO_RUN (CONTROL_REP3)	COMPLETED	0	2025-12-19 12:16:30.023	44.3s	43s	189.6%	401.1 MB	1.4 GB	156.6 MB	1.5 MB
93	f0/5c7a43	27816	NFCORE_FUNCSCAN:FUNCSCAN:BGC:GECCO_RUN (CONTROL_REP2)	COMPLETED	0	2025-12-19 12:17:14.330	51.5s	51s	191.5%	407.2 MB	1.5 GB	158.3 MB	1.7 MB
91	fb/0fb59e	28101	NFCORE_FUNCSCAN:FUNCSCAN:BGC:ANTISMASH_ANTISMASH (CONTROL_REP1)	COMPLETED	0	2025-12-19 12:18:05.855	29.9s	29s	114.9%	852.3 MB	4.6 GB	2.4 GB	49.5 MB
104	30/5b048a	28313	NFCORE_FUNCSCAN:FUNCSCAN:BGC:COMBGC (CONTROL_REP3)	COMPLETED	0	2025-12-19 12:18:35.749	40.2s	3s	109.1%	83.9 MB	559.5 MB	31 MB	10.3 KB
105	ba/2c8645	28329	NFCORE_FUNCSCAN:FUNCSCAN:BGC:COMBGC (CONTROL_REP1)	COMPLETED	0	2025-12-19 12:18:35.762	42s	2s	116.2%	46.7 MB	509.9 MB	31 MB	9.6 KB
106	a2/697a9e	28644	NFCORE_FUNCSCAN:FUNCSCAN:BGC:COMBGC (CONTROL_REP2)	COMPLETED	0	2025-12-19 12:19:16.011	2.5s	2s	120.0%	57.1 MB	522.6 MB	31 MB	16.4 KB
114	4b/7c7dd4	28718	NFCORE_FUNCSCAN:FUNCSCAN:AMP:GUNZIP_MACREL_ORFS (CONTROL_REP2.macrel.all_orfs.faa.gz)	COMPLETED	0	2025-12-19 12:19:17.817	1.1s	50ms	61.5%	3.5 MB	4.6 MB	1.1 MB	2.2 MB
113	2d/d9db91	28729	NFCORE_FUNCSCAN:FUNCSCAN:AMP:GUNZIP_MACREL_PRED (CONTROL_REP2.macrel.prediction.gz)	COMPLETED	0	2025-12-19 12:19:17.838	1.3s	25ms	75.0%	3.5 MB	4.6 MB	115.1 KB	79.1 KB
117	ba/354ea6	28882	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_RGI (CONTROL_REP1)	COMPLETED	0	2025-12-19 12:19:18.978	6.5s	5s	78.0%	85.6 MB	684.6 MB	40.3 MB	19.7 KB
115	b9/64dc34	28813	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_RGI (CONTROL_REP2)	COMPLETED	0	2025-12-19 12:19:18.492	7s	6s	76.6%	88.3 MB	700.6 MB	40.3 MB	20.5 KB
116	f9/814fcb	28831	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_ABRICATE (CONTROL_REP2)	COMPLETED	0	2025-12-19 12:19:18.515	7s	6s	77.9%	87.9 MB	700.5 MB	40.2 MB	1.3 KB
118	31/501d61	28925	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_ABRICATE (CONTROL_REP1)	COMPLETED	0	2025-12-19 12:19:19.195	7s	6s	78.4%	86.8 MB	697.1 MB	40.2 MB	1.3 KB
